id,name,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri
027NtsXW0vpDFhzxsJKmTL,Mirenla,Ciro y los Persas,0.717,0.191,161.011,0.0272,0.0253,0.000661,4,0.632,2,256191,-6.924,0.832,1,spotify:track:027NtsXW0vpDFhzxsJKmTL
5RlrdqMMNm42rKgYq64a3T,23 coltellate,Highsnob,0.584,0.111,81.942,0.225,0.194,1.21e-06,4,0.767,1,155122,-9.126,0.275,1,spotify:track:5RlrdqMMNm42rKgYq64a3T
2J9TGb5CRT4omfAgnKmXn5,Ostia Lido,J-AX,0.786,0.108,108.944,0.186,0.114,0.0,4,0.874,9,172945,-5.723,0.688,1,spotify:track:2J9TGb5CRT4omfAgnKmXn5
45xyKCey4BM3fMeFEsF1Hp,Cenere,Nashley,0.685,0.141,109.968,0.114,0.683,2.52e-05,4,0.722,7,170196,-8.815,0.334,0,spotify:track:45xyKCey4BM3fMeFEsF1Hp
5sPhDjtV7cQgMPZmY6pPw7,Voce,Jeites,0.506,0.0813,129.979,0.0743,0.0666,6.22e-05,4,0.899,10,159093,-11.944,0.708,1,spotify:track:5sPhDjtV7cQgMPZmY6pPw7
3xeaXIjG0RONgwXA3G5nH3,José Sabía,La Vela Puerca,0.605,0.974,106.553,0.0442,0.803,0.0,4,0.301,9,329947,-7.519,0.356,1,spotify:track:3xeaXIjG0RONgwXA3G5nH3
1sjr6BBPbtlQjPZ6eHqis4,Spunte Blu (feat. Guè Pequeno),Carl Brave,0.769,0.102,167.983,0.269,0.206,0.0,4,0.682,2,208693,-5.232,0.596,1,spotify:track:1sjr6BBPbtlQjPZ6eHqis4
6oMxcHFSiTZPSYoRe9wFpF,Pizza Kebab,Ghali,0.776,0.115,143.045,0.0402,0.307,8.79e-06,4,0.708,4,178040,-5.292,0.361,0,spotify:track:6oMxcHFSiTZPSYoRe9wFpF
1xYBeQ5u8uaJ3oBWktjGyJ,Acurrucar,Ed Maverick,0.216,0.0894,99.1,0.0353,0.944,0.00799,4,0.809,8,234080,-12.103,0.236,1,spotify:track:1xYBeQ5u8uaJ3oBWktjGyJ
138yvzoeK9TUM8AX8GU4Wk,No Preciso Más,Mery Granados,0.811,0.0712,135.034,0.0602,0.0344,0.0,4,0.71,9,190080,-5.001,0.655,0,spotify:track:138yvzoeK9TUM8AX8GU4Wk
